path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,subcorpus,tagging,__num__,,year,year_source,is_problem_date,problem_reason
pre1950/xix/senkovsky/senkovsky_pohozhdeniya_chichikova,О. И. Сенковский,муж,1800,"Похождения Чичикова, или мертвые души. Поэма Н. Гоголя",1842,публицистика | нехудожественная,,статья,искусство и культура,,нейтральный,н-возраст,н-уровень,большая,"О. И. Сенковский. Критика 40-х гг. XIX века. М.: Олимп, 2002",,,,книга,ПК письменных текстов,,68350,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/senkovsky/senkovsky_poteryannaya,О. И. Сенковский,муж,1800,Потерянная для света повесть,1834,художественная,юмор и сатира,повесть,,Россия: XIX век,нейтральный,н-возраст,н-уровень,большая,"О. И. Сенковский. Сочинения Барона Брамбеуса. М.: Советская Россия, 1989",,,,книга,ПК письменных текстов,,68351,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/senkovsky/senkovsky_puteshestvie,О. И. Сенковский,муж,1800,Поэтическое путешествие по белу-свету,1833,художественная,нежанровая проза,очерк,,Россия: XIX век,нейтральный,н-возраст,н-уровень,большая,"О. И. Сенковский. Сочинения Барона Брамбеуса. М.: Советская Россия, 1989",,,,книга,ПК письменных текстов,,68352,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/senkovsky/senkovsky_sentimentalnoe,О. И. Сенковский,муж,1800,Сентиментальное путешествие на гору Этну,1833,художественная,нежанровая проза,очерк,,Европа: XIX век,нейтральный,н-возраст,н-уровень,большая,"О. И. Сенковский. Сочинения Барона Брамбеуса. М.: Советская Россия, 1989",,,,книга,ПК письменных текстов,,68353,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/senkovsky/senkovsky_smert,О. И. Сенковский,муж,1800,Смерть Шанфарiя,1828,художественная,фантастика,повесть,,ирреальный мир,нейтральный,н-возраст,н-уровень,большая,"О. И. Сенковский. Смерть Шанфарiя. Альбомъ Сѣверныхъ Музъ. СПб.: Типографія Александра Смирдина, 1828",,,,книга,ПК письменных текстов/oldortho,,68354,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/senkovsky/senkovsky_teoriya,О. И. Сенковский,муж,1800,Теория образованной беседы,1835,художественная,нежанровая проза,повесть,,Россия: XIX век,нейтральный,н-возраст,н-уровень,большая,"О. И. Сенковский. Сочинения Барона Брамбеуса. М.: Советская Россия, 1989",,,,книга,ПК письменных текстов,,68355,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/senkovsky/senkovsky_visyashyi_gost,О. И. Сенковский,муж,1800,Висящий гость,1833,художественная,нежанровая проза,повесть,,Россия: XIX век,нейтральный,н-возраст,н-уровень,большая,"О. И. Сенковский. Сочинения Барона Брамбеуса. М.: Советская Россия, 1989",,,,книга,ПК письменных текстов,,68356,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/senkovsky/senkovsky_vsya_zhenskaya_zhizn,О. И. Сенковский,муж,1800,Вся женская жизнь в нескольких часах,1833,художественная,юмор и сатира,повесть,,Россия: XIX век,нейтральный,н-возраст,н-уровень,большая,"О. И. Сенковский. Сочинения Барона Брамбеуса. М.: Советская Россия, 1989",,,,книга,ПК письменных текстов,,68357,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/senkovsky/senkovsky_zakoldovannyi_klad,О. И. Сенковский,муж,1800,Заколдованный клад,1833,художественная,юмор и сатира,повесть,,ирреальный мир,нейтральный,н-возраст,н-уровень,большая,"О. И. Сенковский. Сочинения Барона Брамбеуса. М.: Советская Россия, 1989",,,,книга,ПК письменных текстов,,68358,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
pre1950/xix/senkovsky/senkovsky_zapiski_domovogo,О. И. Сенковский,муж,1800,Записки домового,1835,художественная,нежанровая проза,повесть,,ирреальный мир,нейтральный,н-возраст,н-уровень,большая,"О. И. Сенковский. Фантастические путешествия Барона Брамбеуса. М.: Сов. Россия, 1989",,,,книга,ПК письменных текстов,,68359,,,none,True,Failed to extract reliable 4-digit year from created/publ_year
